"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","33,200.0","32,880.0","33,200.0","32,800.0","63.78K","0.91%"
"12/27/2023","32,900.0","32,280.0","32,900.0","32,280.0","127.93K","1.86%"
"12/26/2023","32,300.0","31,900.0","32,300.0","31,860.0","62.79K","0.31%"
"12/22/2023","32,200.0","31,880.0","32,300.0","31,640.0","46.85K","-0.31%"
"12/21/2023","32,300.0","31,800.0","32,300.0","31,540.0","137.91K","1.57%"
"12/20/2023","31,800.0","32,000.0","32,440.0","31,660.0","200.98K","-0.56%"
"12/19/2023","31,980.0","32,500.0","32,500.0","31,860.0","109.82K","-1.60%"
"12/18/2023","32,500.0","31,780.0","32,500.0","31,780.0","79.50K","2.20%"
"12/15/2023","31,800.0","31,900.0","31,920.0","31,200.0","706.20K","-0.31%"
"12/14/2023","31,900.0","32,460.0","32,460.0","31,860.0","221.09K","-0.31%"
"12/13/2023","32,000.0","31,000.0","32,000.0","31,000.0","135.56K","2.43%"
"12/12/2023","31,240.0","31,140.0","31,240.0","30,860.0","25.72K","1.10%"
"12/11/2023","30,900.0","30,740.0","31,500.0","30,740.0","74.02K","-3.38%"
"12/07/2023","31,980.0","30,800.0","31,980.0","30,400.0","121.52K","4.78%"
"12/06/2023","30,520.0","31,900.0","31,900.0","30,520.0","68.93K","-4.03%"
"12/05/2023","31,800.0","32,580.0","32,660.0","31,800.0","100.22K","-2.51%"
"12/04/2023","32,620.0","31,400.0","32,620.0","30,800.0","161.70K","3.89%"
"12/01/2023","31,400.0","31,080.0","31,600.0","31,000.0","62.53K","-1.01%"
"11/30/2023","31,720.0","30,400.0","31,720.0","30,100.0","411.74K","4.96%"
"11/29/2023","30,220.0","30,000.0","30,340.0","30,000.0","129.00K","0.07%"
"11/28/2023","30,200.0","30,200.0","30,500.0","30,200.0","119.31K","0.00%"
"11/27/2023","30,200.0","29,660.0","30,200.0","29,600.0","41.25K","1.89%"
"11/24/2023","29,640.0","29,700.0","29,700.0","29,620.0","6.24K","0.14%"
"11/23/2023","29,600.0","30,220.0","30,220.0","29,600.0","11.17K","-1.99%"
"11/22/2023","30,200.0","30,000.0","30,300.0","29,620.0","91.32K","0.67%"
"11/21/2023","30,000.0","29,800.0","30,280.0","29,600.0","33.99K","0.00%"
"11/20/2023","30,000.0","30,400.0","30,400.0","30,000.0","47.29K","-0.66%"
"11/17/2023","30,200.0","30,180.0","30,400.0","30,100.0","55.76K","0.07%"
"11/16/2023","30,180.0","30,240.0","30,300.0","30,180.0","131.99K","-1.69%"
"11/15/2023","30,700.0","30,700.0","30,700.0","30,400.0","73.79K","0.66%"
"11/14/2023","30,500.0","30,700.0","30,700.0","30,500.0","33.25K","-0.65%"
"11/10/2023","30,700.0","30,500.0","30,880.0","30,360.0","51.28K","-0.32%"
"11/09/2023","30,800.0","30,700.0","31,100.0","30,700.0","108.00K","0.06%"
"11/08/2023","30,780.0","30,680.0","30,780.0","30,460.0","74.22K","-0.23%"
"11/07/2023","30,850.0","29,800.0","30,850.0","29,780.0","315.81K","2.83%"
"11/03/2023","30,000.0","29,320.0","30,000.0","29,320.0","51.98K","3.48%"
"11/02/2023","28,990.0","28,600.0","29,000.0","28,400.0","93.01K","3.31%"
"11/01/2023","28,060.0","29,790.0","29,790.0","28,060.0","91.97K","-4.40%"
"10/31/2023","29,350.0","29,410.0","29,690.0","29,240.0","36.45K","0.00%"
"10/30/2023","29,350.0","29,650.0","29,650.0","29,240.0","28.54K","0.41%"
"10/27/2023","29,230.0","28,670.0","29,340.0","28,670.0","29.73K","2.53%"
"10/26/2023","28,510.0","29,690.0","29,780.0","28,510.0","101.64K","-3.75%"
"10/25/2023","29,620.0","29,600.0","29,950.0","29,600.0","68.62K","0.30%"
"10/24/2023","29,530.0","29,800.0","30,240.0","29,530.0","71.42K","-0.71%"
