"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","2,340.0","2,320.0","2,340.0","2,300.0","1.28M","0.86%"
"12/27/2023","2,320.0","2,360.0","2,365.0","2,320.0","1.52M","-1.69%"
"12/26/2023","2,360.0","2,360.0","2,370.0","2,335.0","2.87M","0.43%"
"12/22/2023","2,350.0","2,355.0","2,375.0","2,335.0","4.39M","-0.21%"
"12/21/2023","2,355.0","2,315.0","2,370.0","2,315.0","6.53M","0.86%"
"12/20/2023","2,335.0","2,380.0","2,380.0","2,315.0","5.79M","-1.48%"
"12/19/2023","2,370.0","2,365.0","2,385.0","2,340.0","7.18M","1.28%"
"12/18/2023","2,340.0","2,400.0","2,400.0","2,340.0","2.22M","-1.06%"
"12/15/2023","2,365.0","2,500.0","2,500.0","2,365.0","5.10M","-7.44%"
"12/14/2023","2,555.0","2,500.0","2,595.0","2,500.0","6.76M","2.20%"
"12/13/2023","2,500.0","2,490.0","2,515.0","2,460.0","4.87M","1.63%"
"12/12/2023","2,460.0","2,500.0","2,510.0","2,460.0","3.63M","-1.99%"
"12/11/2023","2,510.0","2,510.0","2,560.0","2,505.0","3.83M","1.83%"
"12/07/2023","2,465.0","2,465.0","2,500.0","2,465.0","3.09M","0.41%"
"12/06/2023","2,455.0","2,510.0","2,525.0","2,455.0","4.63M","-2.39%"
"12/05/2023","2,515.0","2,530.0","2,550.0","2,515.0","4.10M","-1.18%"
"12/04/2023","2,545.0","2,540.0","2,545.0","2,500.0","2.77M","0.00%"
"12/01/2023","2,545.0","2,530.0","2,550.0","2,530.0","1.15M","0.99%"
"11/30/2023","2,520.0","2,570.0","2,590.0","2,510.0","2.88M","-0.59%"
"11/29/2023","2,535.0","2,555.0","2,555.0","2,535.0","2.55M","-0.20%"
"11/28/2023","2,540.0","2,520.0","2,555.0","2,520.0","1.44M","0.79%"
"11/27/2023","2,520.0","2,475.0","2,545.0","2,475.0","3.06M","-2.14%"
"11/24/2023","2,575.0","2,520.0","2,575.0","2,520.0","6.23M","3.00%"
"11/23/2023","2,500.0","2,520.0","2,520.0","2,480.0","685.50K","-0.60%"
"11/22/2023","2,515.0","2,515.0","2,520.0","2,480.0","3.35M","-1.18%"
"11/21/2023","2,545.0","2,505.0","2,550.0","2,500.0","3.39M","1.80%"
"11/20/2023","2,500.0","2,505.0","2,550.0","2,480.0","4.93M","0.81%"
"11/17/2023","2,480.0","2,420.0","2,535.0","2,420.0","15.78M","3.55%"
"11/16/2023","2,395.0","2,400.0","2,405.0","2,360.0","7.08M","0.00%"
