"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","29,000.0","29,700.0","29,700.0","29,000.0","7.67K","-2.36%"
"12/27/2023","29,700.0","29,700.0","29,800.0","29,440.0","7.76K","0.00%"
"12/26/2023","29,700.0","29,780.0","29,780.0","29,700.0","2.95K","-0.27%"
"12/22/2023","29,780.0","29,800.0","29,800.0","29,740.0","4.83K","-0.73%"
"12/21/2023","30,000.0","29,000.0","30,000.0","28,800.0","13.51K","3.45%"
"12/20/2023","29,000.0","29,000.0","29,100.0","27,940.0","44.07K","0.00%"
"12/19/2023","29,000.0","29,220.0","29,220.0","28,700.0","28.53K","-0.75%"
"12/18/2023","29,220.0","29,220.0","29,220.0","29,220.0","1.82K","-1.22%"
"12/15/2023","29,580.0","30,200.0","30,200.0","29,580.0","10.68K","-3.02%"
"12/14/2023","30,500.0","30,500.0","30,500.0","30,500.0","6.61K","0.33%"
"12/13/2023","30,400.0","30,400.0","30,400.0","30,360.0","13.95K","0.00%"
"12/12/2023","30,400.0","29,600.0","30,500.0","29,600.0","10.63K","-0.33%"
"12/07/2023","30,500.0","30,120.0","30,500.0","30,120.0","2.30K","1.67%"
"12/06/2023","30,000.0","29,400.0","30,000.0","29,380.0","10.31K","-1.25%"
"12/05/2023","30,380.0","30,020.0","30,380.0","30,020.0","5.50K","-0.39%"
"12/04/2023","30,500.0","30,000.0","30,500.0","29,980.0","10.73K","-1.55%"
"12/01/2023","30,980.0","30,980.0","30,980.0","30,980.0","8.37K","3.27%"
"11/30/2023","30,000.0","29,300.0","30,000.0","29,300.0","8.12K","0.00%"
"11/29/2023","30,000.0","28,700.0","31,000.0","27,560.0","33.57K","0.00%"
"11/28/2023","30,000.0","30,500.0","30,500.0","30,000.0","8.46K","-3.10%"
"11/27/2023","30,960.0","30,540.0","30,960.0","30,540.0","7.02K","-1.71%"
"11/24/2023","31,500.0","30,040.0","31,500.0","30,020.0","14.02K","0.06%"
"11/23/2023","31,480.0","31,480.0","31,480.0","31,480.0","5.04K","3.21%"
"11/22/2023","30,500.0","30,060.0","30,500.0","29,700.0","27.43K","1.67%"
"11/21/2023","30,000.0","30,620.0","31,900.0","30,000.0","21.47K","-2.47%"
"11/20/2023","30,760.0","32,140.0","32,140.0","30,600.0","13.82K","-5.35%"
"11/17/2023","32,500.0","32,160.0","32,500.0","32,080.0","7.43K","1.25%"
"11/16/2023","32,100.0","32,000.0","32,100.0","31,760.0","8.41K","-1.53%"
"11/15/2023","32,600.0","32,000.0","32,640.0","32,000.0","4.77K","-0.49%"
"11/14/2023","32,760.0","32,360.0","32,760.0","32,360.0","2.35K","-0.61%"
"11/10/2023","32,960.0","32,200.0","33,000.0","31,200.0","16.85K","2.36%"
"11/09/2023","32,200.0","32,100.0","32,200.0","32,100.0","4.71K","-1.77%"
"11/08/2023","32,780.0","32,060.0","32,780.0","32,040.0","6.15K","-0.36%"
"11/07/2023","32,900.0","32,690.0","32,980.0","32,690.0","3.61K","0.64%"
"11/03/2023","32,690.0","32,210.0","32,690.0","32,210.0","7.52K","-0.55%"
"11/02/2023","32,870.0","32,120.0","32,870.0","32,040.0","7.14K","0.00%"
"11/01/2023","32,870.0","32,670.0","32,870.0","32,300.0","12.20K","1.76%"
"10/31/2023","32,300.0","32,100.0","32,300.0","32,000.0","7.78K","-1.82%"
"10/30/2023","32,900.0","33,000.0","33,000.0","32,590.0","15.30K","-0.30%"
"10/27/2023","33,000.0","32,260.0","33,000.0","32,260.0","5.71K","2.14%"
"10/26/2023","32,310.0","32,970.0","32,970.0","32,310.0","4.82K","-2.09%"
"10/25/2023","33,000.0","33,000.0","33,000.0","33,000.0","6.08K","1.63%"
"10/24/2023","32,470.0","30,710.0","32,470.0","30,710.0","11.45K","2.04%"
"10/23/2023","31,820.0","31,800.0","31,820.0","31,520.0","10.88K","-2.09%"
"10/20/2023","32,500.0","31,750.0","32,500.0","31,700.0","16.92K","-1.19%"
"10/19/2023","32,890.0","32,990.0","33,000.0","32,370.0","15.67K","-0.33%"
"10/18/2023","33,000.0","32,000.0","33,000.0","32,000.0","8.65K","0.00%"
"10/17/2023","33,000.0","31,500.0","33,000.0","30,610.0","18.62K","3.13%"
"10/13/2023","32,000.0","31,110.0","32,000.0","31,110.0","4.51K","0.03%"
"10/12/2023","31,990.0","31,990.0","31,990.0","31,990.0","3.23K","2.11%"
"10/11/2023","31,330.0","31,330.0","31,330.0","31,330.0","2.09K","-5.06%"
"10/10/2023","33,000.0","33,000.0","33,000.0","33,000.0","1.19K","0.00%"
"10/09/2023","33,000.0","33,000.0","33,000.0","33,000.0","3.33K","0.00%"
"10/06/2023","33,000.0","31,600.0","33,000.0","31,200.0","11.08K","4.43%"
"10/05/2023","31,600.0","30,030.0","31,600.0","29,440.0","30.95K","1.94%"
"10/04/2023","31,000.0","31,000.0","31,000.0","31,000.0","6.38K","0.52%"
"10/03/2023","30,840.0","30,140.0","30,850.0","30,140.0","6.28K","2.32%"
"10/02/2023","30,140.0","31,260.0","31,260.0","30,020.0","61.93K","-5.78%"
"09/29/2023","31,990.0","30,900.0","31,990.0","30,010.0","32.64K","3.53%"
"09/28/2023","30,900.0","30,900.0","30,900.0","30,890.0","16.48K","-0.23%"
"09/27/2023","30,970.0","29,810.0","30,970.0","29,800.0","5.93K","3.30%"
"09/26/2023","29,980.0","29,030.0","29,980.0","29,030.0","5.44K","-0.03%"
"09/25/2023","29,990.0","28,770.0","29,990.0","28,500.0","30.38K","-1.35%"
"09/22/2023","30,400.0","28,810.0","30,400.0","28,650.0","8.69K","1.67%"
"09/21/2023","29,900.0","29,900.0","29,900.0","29,900.0","5.67K","-0.33%"
"09/20/2023","30,000.0","29,500.0","30,000.0","29,500.0","16.75K","-0.99%"
"09/19/2023","30,300.0","29,210.0","30,300.0","29,210.0","7.77K","1.00%"
"09/18/2023","30,000.0","29,990.0","30,000.0","28,500.0","254.01K","3.48%"
"09/15/2023","28,990.0","30,980.0","30,980.0","28,990.0","262.80K","-6.45%"
"09/14/2023","30,990.0","28,130.0","30,990.0","28,130.0","306.66K","3.65%"
"09/13/2023","29,900.0","30,000.0","30,000.0","29,500.0","17.65K","-3.05%"
"09/12/2023","30,840.0","31,400.0","32,000.0","29,230.0","24.14K","-0.52%"
"09/11/2023","31,000.0","31,400.0","31,400.0","30,070.0","6.20K","0.00%"
