"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","45,000.0","43,800.0","45,000.0","43,040.0","6.32K","2.97%"
"12/27/2023","43,700.0","43,600.0","43,700.0","43,600.0","6.89K","-2.89%"
"12/22/2023","45,000.0","45,500.0","45,500.0","44,100.0","8.51K","-1.53%"
"12/20/2023","45,700.0","46,000.0","46,000.0","45,500.0","23.62K","-0.44%"
"12/19/2023","45,900.0","46,880.0","46,880.0","45,800.0","39.62K","-2.30%"
"12/18/2023","46,980.0","43,920.0","46,980.0","43,920.0","25.23K","-4.12%"
"12/11/2023","49,000.0","49,000.0","49,000.0","49,000.0","2.67K","-1.96%"
"12/07/2023","49,980.0","49,980.0","49,980.0","49,980.0","1.58K","-2.95%"
"12/06/2023","51,500.0","51,500.0","51,500.0","51,500.0","0.54K","3.04%"
"11/30/2023","49,980.0","49,000.0","49,980.0","48,000.0","98.51K","2.00%"
"11/29/2023","49,000.0","47,960.0","49,000.0","47,960.0","5.03K","0.00%"
"11/28/2023","49,000.0","48,500.0","49,000.0","47,500.0","64.15K","1.11%"
"11/27/2023","48,460.0","48,460.0","48,460.0","48,460.0","2.22K","-0.70%"
"11/23/2023","48,800.0","47,520.0","48,800.0","47,520.0","0.83K","0.70%"
"11/22/2023","48,460.0","48,460.0","48,460.0","48,460.0","0.96K","0.96%"
"11/21/2023","48,000.0","43,220.0","48,000.0","43,220.0","6.01K","0.04%"
"11/20/2023","47,980.0","47,520.0","47,980.0","47,000.0","6.18K","0.00%"
"11/17/2023","47,980.0","48,040.0","48,800.0","47,980.0","106.00K","-1.44%"
"11/16/2023","48,680.0","48,000.0","48,680.0","48,000.0","2.33K","1.42%"
"11/15/2023","48,000.0","48,000.0","48,000.0","48,000.0","5.32K","0.00%"
"11/14/2023","48,000.0","48,000.0","48,000.0","48,000.0","3.12K","-0.62%"
"11/10/2023","48,300.0","48,020.0","48,300.0","48,020.0","3.09K","-0.78%"
"11/07/2023","48,680.0","48,000.0","48,680.0","47,750.0","4.90K","0.64%"
"11/03/2023","48,370.0","48,020.0","48,370.0","48,000.0","28.00K","-2.81%"
"11/02/2023","49,770.0","48,500.0","49,770.0","48,010.0","5.65K","-0.40%"
"11/01/2023","49,970.0","49,490.0","49,970.0","49,450.0","2.01K","0.36%"
"10/30/2023","49,790.0","47,410.0","49,790.0","47,410.0","13.81K","1.41%"
"10/27/2023","49,100.0","48,050.0","49,100.0","48,000.0","10.56K","1.87%"
"10/26/2023","48,200.0","47,340.0","48,200.0","47,340.0","35.08K","-2.13%"
"10/25/2023","49,250.0","48,600.0","49,250.0","48,600.0","20.93K","-0.81%"
"10/23/2023","49,650.0","48,510.0","49,650.0","48,510.0","4.46K","1.55%"
"10/20/2023","48,890.0","49,000.0","49,000.0","47,610.0","25.91K","-0.27%"
"10/19/2023","49,020.0","50,000.0","50,000.0","49,000.0","10.68K","-1.74%"
"10/18/2023","49,890.0","49,990.0","50,000.0","48,700.0","14.35K","-0.20%"
"10/17/2023","49,990.0","48,510.0","49,990.0","48,300.0","5.42K","-0.02%"
"10/13/2023","50,000.0","47,800.0","50,000.0","47,800.0","3.60K","0.04%"
"10/12/2023","49,980.0","48,010.0","49,980.0","48,010.0","0.66K","-2.00%"
"10/06/2023","51,000.0","51,500.0","51,500.0","51,000.0","10.17K","-1.54%"
"10/05/2023","51,800.0","50,500.0","51,800.0","50,500.0","130.99K","2.01%"
"10/04/2023","50,780.0","50,000.0","50,780.0","49,110.0","61.54K","3.59%"
"10/03/2023","49,020.0","50,890.0","50,890.0","49,020.0","4.85K","-3.54%"
"10/02/2023","50,820.0","49,900.0","50,820.0","49,900.0","5.53K","2.63%"
"09/29/2023","49,520.0","49,500.0","49,520.0","49,500.0","3.16K","-0.96%"
"09/28/2023","50,000.0","47,530.0","50,000.0","47,530.0","7.30K","0.04%"
"09/27/2023","49,980.0","48,190.0","49,980.0","48,190.0","19.85K","3.69%"
"09/20/2023","48,200.0","48,200.0","48,200.0","48,200.0","0.52K","0.21%"
"09/19/2023","48,100.0","49,000.0","49,000.0","48,090.0","4.35K","-1.84%"
"09/18/2023","49,000.0","47,160.0","49,000.0","47,160.0","7.22K","6.06%"
"09/15/2023","46,200.0","46,580.0","46,580.0","46,200.0","148.87K","-0.82%"
"09/14/2023","46,580.0","46,510.0","47,000.0","46,510.0","63.69K","-3.36%"
"09/13/2023","48,200.0","48,500.0","48,500.0","48,200.0","4.16K","-0.62%"
"09/12/2023","48,500.0","48,500.0","49,980.0","48,500.0","24.87K","-3.79%"
"09/08/2023","50,410.0","50,350.0","50,430.0","50,350.0","3.60K","0.24%"
"09/07/2023","50,290.0","49,570.0","50,300.0","49,570.0","12.38K","-0.22%"
"09/06/2023","50,400.0","49,610.0","50,990.0","49,610.0","7.18K","-2.00%"
"09/05/2023","51,430.0","49,640.0","51,450.0","49,640.0","2.90K","-0.04%"
"09/01/2023","51,450.0","51,960.0","51,960.0","49,900.0","6.79K","3.29%"
"08/31/2023","49,810.0","50,530.0","51,490.0","49,810.0","100.99K","-2.39%"
